"viagem_id","faturamento","km_rodado","data_inicio","motorista_id","cliente_id"
"224","4162","521","2016-04-11","1","3"
"225","4034","505","2016-04-12","1","14"
"226","495","62","2016-04-13","1","18"
"227","3723","466","2016-04-14","1","14"
"228","2700","338","2016-04-15","1","10"
"229","4586","574","2016-04-16","1","1"
"230","775","97","2016-04-17","1","3"
"231","1598","200","2016-04-18","1","2"
"232","1286","161","2016-04-19","1","10"
"233","4514","565","2016-04-20","1","9"
"234","1933","242","2016-04-21","1","21"
"235","2117","265","2016-04-22","1","16"
"236","799","100","2016-04-23","1","24"
"237","1629","204","2016-04-24","1","15"
"238","2436","305","2016-04-25","1","15"
"239","3747","469","2016-04-26","1","18"
"240","1709","214","2016-04-27","1","19"
"241","2812","352","2016-04-28","1","20"
"242","2900","363","2016-04-29","1","13"
"243","1845","231","2016-04-30","1","18"
"244","1150","144","2016-05-01","1","15"
"245","1901","238","2016-05-02","1","6"
"246","2692","337","2016-05-03","1","13"
"247","2460","308","2016-05-04","1","5"
"248","775","97","2016-05-05","1","10"
"249","2540","318","2016-05-06","1","16"
"250","3100","388","2016-05-07","1","20"
"251","4466","559","2016-05-08","1","6"
"252","2253","282","2016-05-09","1","12"
"253","1941","243","2016-05-10","1","9"
"254","1741","218","2016-05-11","1","19"
"255","3931","492","2016-05-12","1","23"
"256","4114","515","2016-05-13","1","22"
"257","1206","151","2016-05-14","1","8"
"258","2101","263","2016-05-15","1","24"
"259","814","102","2016-05-16","1","14"
"260","2908","364","2016-05-17","1","3"
"261","1997","250","2016-05-18","1","12"
"262","3427","429","2016-05-19","1","20"
"263","1542","193","2016-05-20","1","18"
"264","4042","506","2016-05-21","1","9"
"265","4682","586","2016-05-22","1","18"
"266","2341","293","2016-05-23","1","20"
"267","966","121","2016-05-24","1","7"
"268","3004","376","2016-05-25","1","7"
"269","1653","207","2016-05-26","1","9"
"270","1869","234","2016-05-27","1","10"
"271","495","62","2016-05-28","1","4"
"272","2876","360","2016-05-29","1","3"
"273","3132","392","2016-05-30","1","16"
"274","4170","522","2016-05-31","1","3"
"275","1757","220","2016-06-01","1","11"
"276","1070","134","2016-06-02","1","2"
"277","3899","488","2016-06-03","1","20"
"278","679","85","2016-06-04","1","1"
"279","4434","555","2016-06-05","1","14"
"280","3235","405","2016-06-06","1","18"
"281","814","102","2016-06-07","1","14"
"282","1166","146","2016-06-08","1","18"
"283","2724","341","2016-06-09","1","21"
"284","4746","594","2016-06-10","1","19"
"285","3723","466","2016-06-11","1","2"
"286","559","70","2016-06-12","1","20"
"287","2045","256","2016-06-13","1","1"
"288","2061","258","2016-06-14","1","22"
"289","2836","355","2016-06-15","1","1"
"290","743","93","2016-06-16","1","6"
"291","1829","229","2016-06-17","1","20"
"292","1693","212","2016-06-18","1","18"
"293","3347","419","2016-06-19","1","11"
"294","3148","394","2016-06-20","1","19"
"295","647","81","2016-06-21","1","2"
"296","3243","406","2016-06-22","1","21"
"297","3267","409","2016-06-23","1","9"
"298","2636","330","2016-06-24","1","6"
"299","3507","439","2016-06-25","1","9"
"300","3595","450","2016-06-26","1","6"
"301","1909","239","2016-06-27","1","3"
"302","1350","169","2016-06-28","1","22"
"303","1502","188","2016-06-29","1","13"
"304","1981","248","2016-06-30","1","23"
"305","3188","399","2016-07-01","1","9"
"306","2724","341","2016-07-02","1","24"
"307","1486","186","2016-07-03","1","1"
"308","4722","591","2016-07-04","1","15"
"309","4770","597","2016-07-05","1","19"
"310","1837","230","2016-07-06","1","2"
"311","1877","235","2016-07-07","1","15"
"312","2524","316","2016-07-08","1","5"
"313","1350","169","2016-07-09","1","11"
"314","1877","235","2016-07-10","1","8"
"315","2548","319","2016-07-11","1","18"
"316","2341","293","2016-07-12","1","11"
"317","4714","590","2016-07-13","1","22"
"318","3092","387","2016-07-14","1","4"
"319","3267","409","2016-07-15","1","23"
"320","2173","272","2016-07-16","1","8"
"321","679","85","2016-07-17","1","24"
"322","990","124","2016-07-18","1","22"
"323","1661","208","2016-07-19","1","6"
"324","1318","165","2016-07-20","1","9"
"325","4050","507","2016-07-21","1","11"
"326","1094","137","2016-07-22","1","13"
"327","910","114","2016-07-23","1","23"
"328","2948","369","2016-07-24","1","13"
"329","2484","311","2016-07-25","1","15"
"330","519","65","2016-07-26","1","6"
"331","4130","517","2016-07-27","1","23"
"332","1709","214","2016-07-28","1","11"
"333","3771","472","2016-07-29","1","19"
"334","3923","491","2016-07-30","1","14"
"335","2636","330","2016-07-31","1","22"
"336","655","82","2016-08-01","1","10"
"337","1158","145","2016-08-02","1","18"
"338","974","122","2016-08-03","1","23"
"339","3467","434","2016-08-04","1","18"
"340","3987","499","2016-08-05","1","6"
"341","3939","493","2016-08-06","1","21"
"342","4314","540","2016-08-07","1","3"
"343","958","120","2016-08-08","1","3"
"344","519","65","2016-08-09","1","4"
"345","4554","570","2016-08-10","1","11"
"346","1086","136","2016-08-11","1","12"
"347","2836","355","2016-08-12","1","16"
"348","503","63","2016-08-13","1","9"
"349","1510","189","2016-08-14","1","4"
"350","799","100","2016-08-15","1","3"
"351","4466","559","2016-08-16","1","9"
"352","1845","231","2016-08-17","1","5"
"353","1566","196","2016-08-18","1","8"
"354","3379","423","2016-08-19","1","1"
"355","4690","587","2016-08-20","1","20"
"356","2325","291","2016-08-21","1","12"
"357","4106","514","2016-08-22","1","21"
"358","487","61","2016-08-23","1","17"
"359","1805","226","2016-08-24","1","21"
"360","4458","558","2016-08-25","1","9"
"361","4770","597","2016-08-26","1","17"
"362","4282","536","2016-08-27","1","6"
"363","3531","442","2016-08-28","1","23"
"364","1877","235","2016-08-29","1","12"
"365","822","103","2016-08-30","1","8"
"366","2948","369","2016-08-31","1","8"
"367","3683","461","2016-09-01","1","2"
"368","799","100","2016-09-02","1","3"
"369","2373","297","2016-09-03","1","5"
"370","2157","270","2016-09-04","1","11"
"371","2764","346","2016-09-05","1","9"
"372","4242","531","2016-09-06","1","9"
"373","3755","470","2016-09-07","1","21"
"374","2820","353","2016-09-08","1","10"
"375","1150","144","2016-09-09","1","16"
"376","3883","486","2016-09-10","1","2"
"377","623","78","2016-09-11","1","2"
"378","4202","526","2016-09-12","1","20"
"379","4626","579","2016-09-13","1","18"
"380","3891","487","2016-09-14","1","16"
"381","3795","475","2016-09-15","1","7"
"382","3683","461","2016-09-16","1","9"
"383","4170","522","2016-09-17","1","24"
"384","4354","545","2016-09-18","1","17"
"385","4442","556","2016-09-19","1","7"
"386","2285","286","2016-09-20","1","16"
"387","942","118","2016-09-21","1","4"
"388","2532","317","2016-09-22","1","18"
"389","2764","346","2016-09-23","1","20"
"390","2692","337","2016-09-24","1","14"
"391","2269","284","2016-09-25","1","3"
"392","3539","443","2016-09-26","1","23"
"393","727","91","2016-09-27","1","10"
"394","4186","524","2016-09-28","1","19"
"395","4258","533","2016-09-29","1","5"
"396","4714","590","2016-09-30","1","24"
"397","1661","208","2016-10-01","1","19"
"398","2117","265","2016-10-02","1","7"
"399","1422","178","2016-10-03","1","10"
"400","3707","464","2016-10-04","1","12"
"401","1973","247","2016-10-05","1","22"
"402","1965","246","2016-10-06","1","3"
"403","3379","423","2016-10-07","1","19"
"404","4698","588","2016-10-08","1","23"
"405","1989","249","2016-10-09","1","19"
"406","591","74","2016-10-10","1","21"
"407","4050","507","2016-10-11","1","16"
"408","2820","353","2016-10-12","1","8"
"409","1046","131","2016-10-13","1","23"
"410","1398","175","2016-10-14","1","21"
"411","3931","492","2016-10-15","1","16"
"412","2908","364","2016-10-16","1","2"
"413","1254","157","2016-10-17","1","16"
"414","3363","421","2016-10-18","1","7"
"415","1582","198","2016-10-19","1","3"
"416","3811","477","2016-10-20","1","8"
"417","1174","147","2016-10-21","1","20"
"418","2333","292","2016-10-22","1","1"
"419","4386","549","2016-10-23","1","20"
"420","2341","293","2016-10-24","1","10"
"421","535","67","2016-10-25","1","3"
"422","3755","470","2016-10-26","1","6"
"423","2988","374","2016-10-27","1","15"
"424","918","115","2016-10-28","1","9"
"425","2117","265","2016-10-29","1","3"
"426","3291","412","2016-10-30","1","18"
"427","1462","183","2016-10-31","1","22"
"428","2868","359","2016-11-01","1","15"
"429","2580","323","2016-11-02","1","11"
"430","2133","267","2016-11-03","1","13"
"431","4498","563","2016-11-04","1","3"
"432","2309","289","2016-11-05","1","20"
"433","3851","482","2016-11-06","1","17"
"434","2101","263","2016-11-07","1","9"
"435","4258","533","2016-11-08","1","12"
"436","1885","236","2016-11-09","1","1"
"437","3507","439","2016-11-10","1","18"
"438","3315","415","2016-11-11","1","3"
"439","1797","225","2016-11-12","1","12"
"440","3044","381","2016-11-13","1","16"
"441","3875","485","2016-11-14","1","7"
"442","2165","271","2016-11-15","1","8"
"443","2061","258","2016-11-16","1","11"
"444","2205","276","2016-11-17","1","24"
"445","3467","434","2016-11-18","1","3"
"446","2980","373","2016-11-19","1","8"
"447","3259","408","2016-11-20","1","14"
"448","2748","344","2016-11-21","1","24"
"449","2548","319","2016-11-22","1","16"
"450","4274","535","2016-11-23","1","1"
"451","743","93","2016-11-24","1","8"
"452","2740","343","2016-11-25","1","21"
"453","2301","288","2016-11-26","1","19"
"454","2964","371","2016-11-27","1","9"
"455","862","108","2016-11-28","1","24"
"456","894","112","2016-11-29","1","18"
"457","2516","315","2016-11-30","1","6"
"458","1494","187","2016-12-01","1","9"
"459","4114","515","2016-12-02","1","22"
"460","2924","366","2016-12-03","1","3"
"461","3219","403","2016-12-04","1","3"
"462","862","108","2016-12-05","1","9"
"463","583","73","2016-12-06","1","17"
"464","2700","338","2016-12-07","1","2"
"465","2644","331","2016-12-08","1","4"
"466","519","65","2016-12-09","1","4"
"467","4690","587","2016-12-10","1","22"
"468","3379","423","2015-09-01","2","23"
"469","2764","346","2015-09-02","2","21"
"470","3867","484","2015-09-03","2","19"
"471","1645","206","2015-09-04","2","5"
"472","2956","370","2015-09-05","2","6"
"473","4474","560","2015-09-06","2","19"
"474","4250","532","2015-09-07","2","12"
"475","1046","131","2015-09-08","2","4"
"476","4394","550","2015-09-09","2","7"
"477","3915","490","2015-09-10","2","9"
"478","1238","155","2015-09-11","2","19"
"479","4706","589","2015-09-12","2","3"
"480","2932","367","2015-09-13","2","9"
"481","1725","216","2015-09-14","2","4"
"482","3451","432","2015-09-15","2","18"
"483","2333","292","2015-09-16","2","5"
"484","4034","505","2015-09-17","2","18"
"485","3355","420","2015-09-18","2","10"
"486","2341","293","2015-09-19","2","17"
"487","3060","383","2015-09-20","2","10"
"488","2285","286","2015-09-21","2","12"
"489","1486","186","2015-09-22","2","7"
"490","4586","574","2015-09-23","2","22"
"491","3347","419","2015-09-24","2","4"
"492","671","84","2015-09-25","2","8"
"493","3148","394","2015-09-26","2","9"
"494","4242","531","2015-09-27","2","5"
"495","583","73","2015-09-28","2","6"
"496","1286","161","2015-09-29","2","11"
"497","2229","279","2015-09-30","2","15"
"498","3491","437","2015-10-01","2","10"
"499","4434","555","2015-10-02","2","23"
"500","4338","543","2015-10-03","2","22"
"501","3004","376","2015-10-04","2","1"
"502","3483","436","2015-10-05","2","10"
"503","3180","398","2015-10-06","2","7"
"504","1478","185","2015-10-07","2","2"
"505","3771","472","2015-10-08","2","11"
"506","3619","453","2015-10-09","2","24"
"507","1222","153","2015-10-10","2","24"
"508","3140","393","2015-10-11","2","23"
"509","942","118","2015-10-12","2","24"
"510","4514","565","2015-10-13","2","4"
"511","711","89","2015-10-14","2","19"
"512","982","123","2015-10-15","2","2"
"513","1398","175","2015-10-16","2","21"
"514","3036","380","2015-10-17","2","13"
"515","846","106","2015-10-18","2","17"
"516","3715","465","2015-10-19","2","20"
"517","1845","231","2015-10-20","2","4"
"518","1030","129","2015-10-21","2","14"
"519","1845","231","2015-10-22","2","10"
"520","3515","440","2015-10-23","2","13"
"521","2628","329","2015-10-24","2","4"
"522","3355","420","2015-10-25","2","9"
"523","958","120","2015-10-26","2","12"
"524","4754","595","2015-10-27","2","19"
"525","3084","386","2015-10-28","2","12"
"526","3395","425","2015-10-29","2","19"
"527","1733","217","2015-10-30","2","9"
"528","2588","324","2015-10-31","2","6"
"529","2652","332","2015-11-01","2","20"
"530","639","80","2015-11-02","2","21"
"531","4586","574","2015-11-03","2","18"
"532","3507","439","2015-11-04","2","24"
"533","3164","396","2015-11-05","2","23"
"534","1206","151","2015-11-06","2","9"
"535","3491","437","2015-11-07","2","7"
"536","4522","566","2015-11-08","2","2"
"537","966","121","2015-11-09","2","6"
"538","1294","162","2015-11-10","2","13"
"539","751","94","2015-11-11","2","2"
"540","1781","223","2015-11-12","2","12"
"541","4450","557","2015-11-13","2","18"
"542","1853","232","2015-11-14","2","10"
"543","4218","528","2015-11-15","2","7"
"544","3164","396","2015-11-16","2","17"
"545","1582","198","2015-11-17","2","3"
"546","4002","501","2015-11-18","2","10"
"547","679","85","2015-11-19","2","21"
"548","4330","542","2015-11-20","2","4"
"549","2109","264","2015-11-21","2","21"
"550","4794","600","2015-11-22","2","22"
"551","1861","233","2015-11-23","2","18"
"552","3347","419","2015-11-24","2","8"
"553","854","107","2015-11-25","2","16"
"554","2492","312","2015-11-26","2","4"
"555","1837","230","2015-11-27","2","24"
"556","4466","559","2015-11-28","2","10"
"557","1701","213","2015-11-29","2","8"
"558","2524","316","2015-11-30","2","2"
"559","791","99","2015-12-01","2","15"
"560","3052","382","2015-12-02","2","2"
"561","1230","154","2015-12-03","2","5"
"562","2005","251","2015-12-04","2","18"
"563","3659","458","2015-12-05","2","14"
"564","2317","290","2015-12-06","2","22"
"565","2269","284","2015-12-07","2","16"
"566","1078","135","2015-12-08","2","17"
"567","2756","345","2015-12-09","2","17"
"568","3459","433","2015-12-10","2","2"
"569","3315","415","2015-12-11","2","12"
"570","3427","429","2015-12-12","2","9"
"571","1382","173","2015-12-13","2","23"
"572","1102","138","2015-12-14","2","19"
"573","1134","142","2015-12-15","2","24"
"574","1789","224","2015-12-16","2","17"
"575","3859","483","2015-12-17","2","10"
"576","2404","301","2015-12-18","2","24"
"577","1773","222","2015-12-19","2","13"
"578","1949","244","2015-12-20","2","2"
"579","2748","344","2015-12-21","2","14"
"580","1941","243","2015-12-22","2","4"
"581","4050","507","2015-12-23","2","17"
"582","4410","552","2015-12-24","2","24"
"583","2077","260","2015-12-25","2","19"
"584","1701","213","2015-12-26","2","10"
"585","2804","351","2015-12-27","2","10"
"586","4706","589","2015-12-28","2","19"
"587","1941","243","2015-12-29","2","9"
"588","3651","457","2015-12-30","2","3"
"589","1262","158","2015-12-31","2","10"
"590","3875","485","2016-01-01","2","12"
"591","4794","600","2016-01-02","2","21"
"592","1174","147","2016-01-03","2","19"
"593","2325","291","2016-01-04","2","23"
"594","1342","168","2016-01-05","2","14"
"595","3491","437","2016-01-06","2","19"
"596","1126","141","2016-01-07","2","8"
"597","1174","147","2016-01-08","2","3"
"598","4354","545","2016-01-09","2","19"
"599","615","77","2016-01-10","2","18"
"600","2628","329","2016-01-11","2","11"
"601","3787","474","2016-01-12","2","1"
"602","1781","223","2016-01-13","2","22"
"603","4066","509","2016-01-14","2","24"
"604","2804","351","2016-01-15","2","15"
"605","607","76","2016-01-16","2","5"
"606","4714","590","2016-01-17","2","1"
"607","1917","240","2016-01-18","2","3"
"608","1030","129","2016-01-19","2","15"
"609","822","103","2016-01-20","2","19"
"610","543","68","2016-01-21","2","19"
"611","2860","358","2016-01-22","2","24"
"612","783","98","2016-01-23","2","1"
"613","2189","274","2016-01-24","2","20"
"614","3571","447","2016-01-25","2","9"
"615","4794","600","2016-01-26","2","5"
"616","4250","532","2016-01-27","2","10"
"617","4682","586","2016-01-28","2","4"
"618","862","108","2016-01-29","2","10"
"619","1342","168","2016-01-30","2","18"
"620","4794","600","2016-01-31","2","6"
"621","2253","282","2016-02-01","2","11"
"622","2205","276","2016-02-02","2","16"
"623","3180","398","2016-02-03","2","6"
"624","2165","271","2016-02-04","2","14"
"625","2780","348","2016-02-05","2","11"
"626","4426","554","2016-02-06","2","3"
"627","1358","170","2016-02-07","2","17"
"628","4146","519","2016-02-08","2","1"
"629","1566","196","2016-02-09","2","1"
"630","3339","418","2016-02-10","2","7"
"631","2005","251","2016-02-11","2","10"
"632","4658","583","2016-02-12","2","5"
"633","3875","485","2016-02-13","2","1"
"634","4770","597","2016-02-14","2","24"
"635","1326","166","2016-02-15","2","4"
"636","878","110","2016-02-16","2","14"
"637","4442","556","2016-02-17","2","14"
"638","4042","506","2016-02-18","2","2"
"639","1901","238","2016-02-19","2","11"
"640","3691","462","2016-02-20","2","22"
"641","4474","560","2016-02-21","2","10"
"642","2117","265","2016-02-22","2","24"
"643","4114","515","2016-02-23","2","17"
"644","3939","493","2016-02-24","2","19"
"645","591","74","2016-02-25","2","4"
"646","1957","245","2016-02-26","2","13"
"647","4298","538","2016-02-27","2","21"
"648","727","91","2016-02-28","2","9"
"649","1238","155","2016-02-29","2","21"
"650","1374","172","2016-03-01","2","8"
"651","1358","170","2016-03-02","2","8"
"652","775","97","2016-03-03","2","11"
"653","4450","557","2016-03-04","2","7"
"654","4346","544","2016-03-05","2","7"
"655","1486","186","2016-03-06","2","17"
"656","3196","400","2016-03-07","2","4"
"657","4762","596","2016-03-08","2","3"
"658","3515","440","2016-03-09","2","7"
"659","631","79","2016-03-10","2","14"
"660","1006","126","2016-03-11","2","19"
"661","2700","338","2016-03-12","2","15"
"662","3028","379","2016-03-13","2","17"
"663","4714","590","2016-03-14","2","3"
"664","2117","265","2016-03-15","2","1"
"665","1653","207","2016-03-16","2","6"
"666","711","89","2016-03-17","2","10"
"667","2197","275","2016-03-18","2","10"
"668","1669","209","2016-03-19","2","5"
"669","1781","223","2016-03-20","2","5"
"670","2692","337","2016-03-21","2","10"
"671","3739","468","2016-03-22","2","16"
"672","4658","583","2016-03-23","2","21"
"673","1414","177","2016-03-24","2","18"
"674","2237","280","2016-03-25","2","6"
"675","2157","270","2016-03-26","2","9"
"676","4274","535","2016-03-27","2","1"
"677","3595","450","2016-03-28","2","14"
"678","4098","513","2016-03-29","2","22"
"679","4186","524","2016-03-30","2","3"
"680","3827","479","2016-03-31","2","3"
"681","3603","451","2016-04-01","2","10"
"682","2756","345","2016-04-02","2","20"
"683","4066","509","2016-04-03","2","18"
"684","3579","448","2016-04-04","2","2"
"685","4450","557","2016-04-05","2","3"
"686","4162","521","2016-04-06","2","10"
"687","3052","382","2016-04-07","2","5"
"688","2668","334","2016-04-08","2","4"
"689","2868","359","2016-04-09","2","15"
"690","2588","324","2016-04-10","2","23"
"691","3331","417","2016-04-11","2","17"
"692","3723","466","2016-04-12","2","9"
"693","1382","173","2016-04-13","2","9"
"694","3331","417","2016-04-14","2","11"
"695","1893","237","2016-04-15","2","23"
"696","2317","290","2016-04-16","2","18"
"697","4522","566","2016-04-17","2","15"
"698","2436","305","2016-04-18","2","1"
"699","3723","466","2016-04-19","2","21"
"700","4298","538","2016-04-20","2","23"
